,red,blue,green,scaled_red,scaled_blue,scaled_green
542,105,216,186,1.410554,2.588176,2.609557
543,89,243,200,1.195612,2.911698,2.805975
544,82,248,200,1.101575,2.971609,2.805975
545,83,241,195,1.115009,2.887733,2.735826
546,85,239,196,1.141877,2.863769,2.749856
547,86,241,199,1.155311,2.887733,2.791945
548,76,239,192,1.020972,2.863769,2.693736
549,86,255,199,1.155311,3.055486,2.791945
550,82,248,188,1.101575,2.971609,2.637617
551,84,245,187,1.128443,2.935663,2.623587
552,94,244,196,1.262782,2.92368,2.749856
553,88,229,195,1.182179,2.743946,2.735826
554,91,227,199,1.22248,2.719981,2.791945
555,99,231,208,1.329951,2.76791,2.918214
556,75,138,124,1.007539,1.653557,1.739705
557,0,23,8,0.0,0.275593,0.112239
558,0,16,3,0.0,0.191717,0.04209
559,0,11,1,0.0,0.131805,0.01403
560,0,9,2,0.0,0.107841,0.02806
561,0,9,3,0.0,0.107841,0.04209
562,0,11,4,0.0,0.131805,0.05612
563,0,16,3,0.0,0.191717,0.04209
564,1,34,18,0.013434,0.407398,0.252538
565,86,130,113,1.155311,1.557699,1.585376
566,62,118,99,0.832899,1.413911,1.388958
567,0,38,15,0.0,0.455327,0.210448
568,107,189,158,1.437422,2.264654,2.21672
569,135,237,199,1.813569,2.839804,2.791945
570,89,215,174,1.195612,2.576194,2.441198
571,96,237,195,1.289649,2.839804,2.735826
572,82,243,201,1.101575,2.911698,2.820005
573,82,250,200,1.101575,2.995574,2.805975
574,83,255,197,1.115009,3.055486,2.763885
575,86,255,195,1.155311,3.055486,2.735826
576,87,255,195,1.168745,3.055486,2.735826
577,90,248,196,1.209046,2.971609,2.749856
578,90,243,197,1.209046,2.911698,2.763885
579,90,241,197,1.209046,2.887733,2.763885
580,97,252,205,1.303083,3.019539,2.876124
581,80,234,188,1.074708,2.803857,2.637617
582,98,231,196,1.316517,2.76791,2.749856
583,97,191,169,1.303083,2.288619,2.371049
584,0,14,8,0.0,0.167752,0.112239
585,19,0,0,0.255243,0.0,0.0
586,107,32,33,1.437422,0.383433,0.462986
587,189,84,85,2.538997,1.006513,1.192539
588,216,62,69,2.901711,0.742902,0.968061
589,210,64,71,2.821108,0.766867,0.996121
590,207,66,72,2.780806,0.790832,1.010151
591,209,66,72,2.807674,0.790832,1.010151
592,214,66,69,2.874843,0.790832,0.968061
593,216,66,68,2.901711,0.790832,0.954032
594,216,68,68,2.901711,0.814796,0.954032
595,216,69,67,2.901711,0.826778,0.940002
596,213,68,67,2.861409,0.814796,0.940002
597,201,58,64,2.700203,0.694973,0.897912
598,188,49,60,2.525563,0.587133,0.841793
599,204,63,73,2.740505,0.754885,1.024181
600,212,63,69,2.847976,0.754885,0.968061
601,225,68,73,3.022616,0.814796,1.024181
602,212,59,68,2.847976,0.706955,0.954032
